go_id	Evidence	gene_id
GO:0008013	ISO	LOC107395828
GO:0070411	ISO	LOC107395828
GO:0031398	ISO	LOC107395828
GO:0035591	ISO	LOC107395828
GO:0035591	ISO	LOC107395828
GO:0046332	ISO	LOC107395828
GO:0010800	ISO	LOC107395828
GO:0030111	ISO	LOC107395828
GO:0032147	ISO	LOC107395828
GO:0033146	ISO	LOC107395828
GO:0034622	ISO	LOC107395828
GO:0045732	ISO	LOC107395828
GO:0045732	ISO	LOC107395828
GO:0046330	ISO	LOC107395828
GO:0051443	ISO	LOC107395828
GO:0090090	ISO	LOC107395828
GO:1904885	ISO	LOC107395828
GO:2000060	ISO	LOC107395828
GO:0016328	ISO	LOC107395828
GO:0030877	ISO	LOC107395828
GO:0071944	ISO	LOC107395828
GO:0005515	ISO	ptprk
GO:0016020	ISO	ptprk
GO:0016791	ISO	ptprk
GO:0004725	ISO	ptprk
GO:0006470	ISO	ptprk
GO:0016311	ISO	ptprk
GO:0016021	ISO	ptprk
GO:0016021	ISO	ptprk
GO:0043231	ISO	ptprk
GO:0005886	ISO	ptprk
GO:0016787	ISO	ptprk
GO:0007155	ISO	ptprk
GO:0005886	ISO	ptprk
GO:0030054	ISO	ptprk
GO:0004721	ISO	ptprk
GO:0005515	ISO	ptprk
GO:0007165	ISO	ptprk
GO:0035335	ISO	ptprk
GO:0030054	ISO	ptprk
GO:0009986	ISO	ptprk
GO:0004725	ISO	ptprk
GO:0005887	ISO	ptprk
GO:0019901	ISO	ptprk
GO:0008285	ISO	ptprk
GO:0004725	ISO	ptprk
GO:0016477	ISO	ptprk
GO:0005912	ISO	ptprk
GO:0006470	ISO	ptprk
GO:0048041	ISO	ptprk
GO:0045786	ISO	ptprk
GO:0045892	ISO	ptprk
GO:0007179	ISO	ptprk
GO:0005911	ISO	ptprk
GO:0034394	ISO	ptprk
GO:0008013	ISO	ptprk
GO:0045295	ISO	ptprk
GO:0006470	ISO	ptprk
GO:0030336	ISO	ptprk
GO:0034644	ISO	ptprk
GO:0034614	ISO	ptprk
GO:0010839	ISO	ptprk
GO:0005001	ISO	ptprk
GO:0031256	ISO	ptprk
GO:0007155	ISO	ptprk
GO:0031175	ISO	ptprk
GO:0001750	ISO	ptprk
GO:0030424	ISO	ptprk
GO:0030425	ISO	ptprk
GO:0043025	ISO	ptprk
GO:0000166	ISO	hspa12b
GO:0005524	ISO	hspa12b
GO:0005515	ISO	hspa12b
GO:0005737	ISO	clnk
GO:0005737	ISO	clnk
GO:0009967	ISO	clnk
GO:0005515	ISO	clnk
GO:0006955	ISO	clnk
GO:0007169	ISO	clnk
GO:0035556	ISO	clnk
GO:0035556	ISO	clnk
GO:0005070	ISO	clnk
GO:0044877	ISO	clnk
GO:0002729	ISO	clnk
GO:0007169	ISO	clnk
GO:0010941	ISO	clnk
GO:0032815	ISO	clnk
GO:0032991	ISO	clnk
GO:0016020	ISO	LOC107387542
GO:0016021	ISO	LOC107387542
GO:0006508	ISO	ctsh
GO:0008234	ISO	ctsh
GO:0043231	ISO	ctsh
GO:0043066	ISO	ctsh
GO:0005829	ISO	ctsh
GO:0016787	ISO	ctsh
GO:0005615	ISO	ctsh
GO:0005615	ISO	ctsh
GO:0008233	ISO	ctsh
GO:0008233	ISO	ctsh
GO:0008234	ISO	ctsh
GO:0006508	ISO	ctsh
GO:0006508	ISO	ctsh
GO:0036464	ISO	ctsh
GO:0005764	ISO	ctsh
GO:0005764	ISO	ctsh
GO:0004177	ISO	ctsh
GO:0002250	ISO	ctsh
GO:0005615	ISO	ctsh
GO:0005576	ISO	ctsh
GO:0005515	ISO	ctsh
GO:0004252	ISO	ctsh
GO:0006915	ISO	ctsh
GO:0005764	ISO	ctsh
GO:0070062	ISO	ctsh
GO:0031648	ISO	ctsh
GO:0010628	ISO	ctsh
GO:0044267	ISO	ctsh
GO:0004197	ISO	ctsh
GO:0030335	ISO	ctsh
GO:0062023	ISO	ctsh
GO:0043312	ISO	ctsh
GO:0008284	ISO	ctsh
GO:0070371	ISO	ctsh
GO:0034774	ISO	ctsh
GO:1904813	ISO	ctsh
GO:1904724	ISO	ctsh
GO:0008234	ISO	ctsh
GO:0045766	ISO	ctsh
GO:0004175	ISO	ctsh
GO:0008656	ISO	ctsh
GO:0001656	ISO	ctsh
GO:0010634	ISO	ctsh
GO:0051603	ISO	ctsh
GO:0004197	ISO	ctsh
GO:0032526	ISO	ctsh
GO:0033619	ISO	ctsh
